sampleID,d15N,d13C
njZEDkTA4mjRs6rw/tqfQjEUL/lUbiPpO270Dwr8qbI=,-5.8,-31.1
njZEDkTA4mgheRG5xpV4KhBLjPaOVb3QRxFs/QPRWXk=,-2.8,-30.4
njZEDkTA4mjM8NaA5tPYPfIlPRzbOoiPURsnDbqK3bo=,-1.6,-27.5
njZEDkTA4mjM8NaA5tPYPTLeca1Mq+PzxxOKRi4CuWA=,-2.4,-29.8
njZEDkTA4mjM8NaA5tPYPaQ7DDpwljfAx1IeI64tYbU=,-1.6,-29.4
njZEDkTA4mi2wT7cGdhmi5Lr4Z1iZftb/3tUYPPiG1s=,-4.7,-30.6
njZEDkTA4mhSkwoOwiHBfi3eADDSK5dn2593+eGblCA=,-3.6,-30.2
njZEDkTA4miyJmItRR7bb7aiJUAknLgxEH5ZLS2fNts=,-4,-27.7
njZEDkTA4miMFdcBeh0bEOgw31WI67a7yHvkNb4kF7g=,-3.8,-31.5
njZEDkTA4miVPiZgajsajJyGU2VGb4wd83wgTn1x/fk=,-5.6,-28.6
njZEDkTA4miMFdcBeh0bEOqlK9WNlal4RGubN/vzi2w=,-4.1,-30.4
njZEDkTA4miMFdcBeh0bEOqlK9WNlal4RGubN/vzi2w=,-4.1,-30.3
njZEDkTA4mhD9kQrWDZIDvJvaLn77OC7SBzRm0z+5K4=,0.2,-28.2
njZEDkTA4mhD9kQrWDZIDrGPgXD9DL+LpOToDDpR1pU=,-2,-29.8
njZEDkTA4mhTZe2wh2y3jx++gacbnFugxvjdpiPqzvI=,-3.1,-29.6
vOIarzMvGliNNzm9ifDC1aa/yi8YJUn22hOgQoMdsIk=,-2,-30.7
vOIarzMvGlihlAl4Y1Jx7nJQxVPnZBYBcSkcfkz/KNo=,-2.5,-28.1
vOIarzMvGlihlAl4Y1Jx7n9fTRgE1yyjjXk5R9g6+b8=,-2.3,-28.3
vOIarzMvGlhNFVsyuB6syMmejHjFUMaH0eH3rw1ev1E=,-2.8,-29.3
vOIarzMvGlhqK3k6dWTmIXyqn4LL85wbS5oDivfcQjc=,-3.5,-29
vOIarzMvGlhqK3k6dWTmIVGbSPKYwsroPinklfZEkVk=,-3.4,-30.2
vOIarzMvGljH1+IHC4k14UAwR/DUDLqWV+H3sBwbMoY=,-2.1,-30
vOIarzMvGljU9FFbmwQqfoUpqRSzIrDXLLNPE7i4ed8=,-3.7,-27.6
vOIarzMvGlh7NBdJ8CKuDESeHUVxBcoKv6xCwFl2r+A=,-4.8,-28.7
vOIarzMvGlidirXgNn33ctWEBpp1rvzJ8l+8JdgMseI=,-4,-28.5
vOIarzMvGlhI3KzzmOhSnwNtDJYgiaIT+4zbT/RyHoE=,-1.5,-29.5
vOIarzMvGlhfDoDennRS0gTndWSSz+YxoY0wM9EKVEo=,-5.1,-29.9
vOIarzMvGlhXIwkEjtsUnItxLgmqN2m+nZxthwufT4A=,-4.7,-28.4
vOIarzMvGlhXIwkEjtsUnOKOBCfkBksWGjr/SHhGtbU=,-4.5,-27.6
vOIarzMvGlhXIwkEjtsUnEFgJb6NzQN/OfeBjFoa0uQ=,-4.3,-27.5
vOIarzMvGliccYFTJ7MmljRqLGra8aMqZLRrQeqS9vg=,-4.1,-29.9
vOIarzMvGliccYFTJ7MmlvA66TAGfRvfGxvTwjcJO8A=,-4.5,-29.6
vOIarzMvGliccYFTJ7MmlpQQcTmml1ahuUESrECJrG4=,-3.4,-31.2
vOIarzMvGliccYFTJ7MmlpQQcTmml1ahuUESrECJrG4=,-3.2,-31.2
vOIarzMvGlhI3KzzmOhSn1P7I0gk79Zdv/KiM2o4WXE=,-1.6,-29.6
vOIarzMvGli8zNAdKFHvRKtJADwWciG9YR45iLylBIE=,-3.6,-29.6
vOIarzMvGli8zNAdKFHvRPr36zWwFMXdxEbRy5r0v+8=,-2.4,-30.9
vOIarzMvGlgbyQZJ28HP5qzgrVcFMU3SV4MetFO1iIk=,-1.5,-31.2
vOIarzMvGliqMbQvpYpQYWdxE+5uHt8YjgaRl+yE8YA=,-2.7,-30.3
vOIarzMvGlgVh3zv/lSuIjrwCQvsfUmDWrp9RyrEnok=,-2,-30.3
vOIarzMvGljGGYBt1c0XnJMuIn+DLfaCf9lHpfUtlkg=,-1.6,-30.9
vOIarzMvGlhGRCWNBhhlUndOR4++kjo/RByppRh4nc8=,-2.1,-29.9
